1,"GOUTAM PUBLIC HIGH SCHOOL,NO 173, 1ST MAIN ROAD,,KAMALANAGAR,,BENGALURU",12.9957707,77.5312264
2,"GOVERNMENT HIGH SCHOOL,CHIKKABIDARAKALLU,BENGALURU,",13.0513913,77.487383
3,"INDIAN HIGH SCHOOL,NO.74, IST STAGE, 3RD PHASE,WEST OF CHORD ROAD,MANJUNATHANAGARA ,BENGALURU",12.9844086,77.5489692
4,"DEENA SEVA HIGH SCHOOL,NO 260 KAMALNAGARA,BENGALURU,",12.9969983,77.5266619
5,"VIJAYA BHARATHI HIGH SCHOOL,,BHUVANESHWARINAGAR, T.DASARAHALLI EXTN.,,BENGALURU NORTH,",13.0518139,77.5112737
6,"SCHOENSTATT ST. MARY'S HIGH SCHOOL,,8TH MILE TUMAKURU ROAD,NAGASANDARA POST,,BENGALURU",13.0410692,77.5062729
7,"ASHWINI HIGH SCHOOL,,T.C.NAGARA PEENYA LAGGERE POST,BENGALURU NORTH,",13.0094597,77.5187759
8,"ARUNODAYA ENG HIGH SCHOOL,SUNKADA KATTE,VISHWANEEDAM POST,BENGALURU",12.9918471,77.4992913
9,"GOVT COMP HIGH SCHOOL,HEGGANAHALLY, VISWANEEDAM POST,BENGALURU NORTH DIST.,,BENGALURU",13.00386,77.5040381
10,"VISWESWARAIAH HIGH SCHOOL,NO 8 RAJAGOPALNAGAR PEENYA II STAGE,BENGALURU,",13.023537,77.5217897
11,"B N R INTERNATIONAL HIGH SCHOOL,NO.48/50, BABANNA LAYOUT,MALLASANDRA,T DASARAHALLY ,BENGALURU",13.0622475,77.5103487
12,"SHREE VIDYAMANYA VIDYAKENDRA,HIGH SCHOOL, VIDYAMANYANAGARA,ANDRAHALLY, VISHWANEEDAM POST,BENGALURU",13.0082173,77.4910353
13,"CLUNY CONVENT HIGH SCHOOL,JALAHALLY,BENGALURU NORTH,",13.0554142,77.5406801
14,"VIDYASAGAR HIGH SCHOOL,KAMAKSHIPALYA BASAVESWARANAGAR,BENGALURU,",12.9904426,77.5341439
15,"KIRAN ENG HIGH SCHOOL,HEGGANAHALLY,BENGALURU,",13.0060173,77.5063774
16,"AMARAVANI HIGH SCHOOL,NO.01, 2ND MAIN ROAD,BEML LAYOUT,BENGALURU",12.9902932,77.5474333
17,"VIDYASHREEE HIGH SCHOOL (ENGLISH SCHOOL),ANJANA NAGAR , MAGADI MAIN ROAD,BENGALURU,",12.986693,77.488485
18,"S J R HIGH SCHOOL,NO 1050 IV 'M' BLOCK SSI AREA,RAJAJINAGAR BENGALURU,",12.983406,77.5572848
19,"SIDDARTHA VIDYA NIKETHANA HIGH SCHOOL,,GANGONDANA HALLI, MAIN ROAD,,BENGALURU,",13.0285864,77.4889674
20,"GOVERNMENT HIGH SCHOOL,SANEGORAVANAHALLI,BASAVESWARANAGAR,BENGALURU,",12.9898376,77.5411545
21,"ANEKETHANA KISHORE KENDRA HIGH SCHOOL,NO 65 LAGGERE MAIN ROAD,LAGGERE,BENGALURU,",13.0098933,77.5222982
22,"MAXMILLER HIGH SCHOOL,NO 20 I-STAGE,KHB COLONY,BASAVESWARNGR,BENGALURU,",12.9426689,77.544951
23,"ST LAWRENCE HIGH SCHOOL,NO 135 KAMAKSHIPALYA,BENGALURU,",12.9853069,77.5292579
24,"APOLLO HIGH SCHOOL ,,GAJANANA NAGAR , HEGGANAHALLI CROSS,BENGALURU,",12.9977355,77.5046814
25,"VIDYANIKETHANA HIGH SCHOOL,SUNKADAKATTE,,BENGALURU,",12.9954511,77.5058393
26,"GOVT COMP HIGH SCHOOL,KRISHNANANDA NAGAR, NANDINI,BADAVANE, BENGALURU NORTH,",13.0171035,77.5406788
27,"SAINT THERESA GIRLS HIGH SCHOOL,,MALLASANDRA,,T.DASARAHALLI,,BENGALURU",13.0547947,77.5072734
